	f	round_system_type	timeout_seconds	wait_period_ms	wait_stagger_ms	thrifty_system	resend_phase1as_timer_period_ms	resend_phase2as_timer_period_ms	phase2a_max_buffer_size	phase2a_buffer_flush_period_ms	value_chosen_max_buffer_size	value_chosen_buffer_flush_period_ms	ping_period_ms	no_ping_timeout_min_ms	no_ping_timeout_max_ms	not_enough_votes_timeout_min_ms	not_enough_votes_timeout_max_ms	fail_period_ms	success_period_ms	num_retries	repropose_period_ms	network_delay_alpha	p90 throughput 1 second windows
0	3	0	61	18571	11003	2	11663	10016	462	23096	7402632	11	6288	14508	22021	12551	18622	1315	2945	3	23715	0.18864810046164507	21665.0
1	4	1	61	13860	23041	0	25477	5689	741	2796	8466067	1	28963	5699	11380	17444	27490	7112	21713	2	7601	0.07833065016380687	20816.0
2	5	0	60	26101	25792	1	29753	14928	864	15764	4009604	14	2192	18343	18393	20928	26986	11038	13426	2	25420	0.7894857276338032	19937.0
3	1	0	60	25420	25040	2	4999	6046	514	26943	2423009	17	18976	7915	11417	662	5807	12842	25372	3	25216	0.5566580328132424	30233.0
4	2	1	60	1880	27827	0	5642	576	794	24778	2743149	30	29269	3984	24389	13789	27060	13002	13760	2	14967	0.011968314188467563	22638.0
5	5	0	61	107	16684	1	4361	16044	434	20948	7674311	12	11060	15203	15218	4812	5408	22875	17311	2	4197	0.3859936206690722	22595.0
6	1	1	60	11578	12715	0	21856	25689	423	22490	1158738	18	19332	12357	15158	8562	26852	10367	27506	1	21005	0.7571770111318719	22578.0
7	4	1	61	871	1128	1	24732	15166	976	20325	1111782	3	24279	16607	21056	22912	23455	18499	16658	2	17005	0.6739798801597878	19408.0
8	3	1	61	21755	28992	1	29429	9020	546	13325	9461718	20	21529	29083	29639	13232	15664	12868	20369	2	25494	0.9484260661089794	8441.0
9	3	0	60	8458	13116	0	9520	16392	949	14441	65030	3	3747	13775	15323	13294	17242	16251	27908	2	28390	0.18443982721753371	20646.0
10	1	1	61	19476	13879	0	25576	1743	917	13657	6350248	14	1456	124	16765	1398	16582	12269	27449	3	28164	0.26403284296101587	22494.0
11	4	0	60	5503	994	1	19930	28497	891	26466	5161248	14	5056	3406	22093	4074	9236	14753	18215	1	22836	0.5001780927223646	20806.0
12	2	0	60	2408	1799	0	20212	7462	380	5181	8503727	28	3388	6293	17500	2884	16682	10126	4123	1	8205	0.4276114036691269	25245.0
13	1	1	61	11399	24705	2	17943	14038	401	24175	3734121	25	20213	12830	27920	528	13246	26939	11928	1	12741	0.39781057078087384	26015.0
14	5	0	61	12841	4738	0	428	29551	99	14942	4595788	30	24269	5785	23720	17439	21667	844	13013	1	11527	0.23637067783061064	17478.0
15	4	0	60	3420	6908	0	13831	3716	849	28104	2444819	11	12644	731	21523	26508	29001	13253	3913	2	26661	0.4044984226910194	17739.0
16	5	0	60	21968	12536	2	7562	20938	321	12666	9857542	18	19502	14683	28984	14102	21128	8509	663	2	598	0.5901655128528756	20190.0
17	3	1	60	3634	25123	2	4125	6472	305	4352	1576958	16	17957	5718	13691	1642	25070	18712	23686	2	3584	0.06868186581035937	23937.0
18	4	0	60	23328	21413	1	1882	10876	252	26042	8000770	3	22811	3400	26643	9248	9407	4765	27582	1	19327	0.6399259236360111	21173.0
19	5	0	61	23992	16719	2	23092	22258	760	5728	589718	23	19165	1589	2806	16822	21343	11777	17425	1	27230	0.22076550220856256	21774.0
